Id_Franquicia,Nombre_Franquicia,Min_Inversion,Max_Inversion,Año_Fundado,Unidades
200,Johnny Rockets,507000.0,1690000.0,1986,110
201,Burgerim,195000.0,683000.0,2014,109
202,Bahama Buck's,309000.0,966000.0,1992,106
203,TacoTime,145000.0,763000.0,1960,105
204,Ponderosa Steakhouse,339000.0,1550000.0,1965,103
205,Yoshinoya,156000.0,2140000.0,1977,103
206,Fatburger,509000.0,1690000.0,1952,102
207,Maui Wowi,29000.0,1120000.0,1982,102
208,Frisch's,653000.0,5670000.0,1946,102
209,Pizza Factory,274000.0,542000.0,1982,101
210,Newk's Eatery,1010000.0,1340000.0,2005,100
211,Bento Sushi,5000.0,198000.0,2016,99
212,Farmer Boys,1060000.0,2520000.0,1997,99
213,Jeremiah's Italian Ice,103000.0,696000.0,2019,97
214,BUBBAKOO's BURRITOS,233000.0,700000.0,2014,97
215,Costa Vida Fresh Mexican Grill,660000.0,1060000.0,2004,97
216,Happy Lemon,289000.0,607000.0,2017,96
217,Dave's Hot Chicken,616000.0,1830000.0,2018,96
218,Wahlburgers,1140000.0,2000000.0,2014,96
219,Beef Jerky Experience,196000.0,404000.0,2006,95
220,Aroma Joe’s,501000.0,959000.0,2013,95
221,Ike’s Love and Sandwiches,141000.0,614000.0,2007,94
222,Melting Pot,1360000.0,2069999.9999999998,1984,93
223,Saladworks,200000.0,549000.0,1986,93
224,Primohoagies,351000.0,760000.0,2005,93
225,Cousins Subs,445000.0,955000.0,1972,92
226,The Halal Guys,542000.0,1460000.0,2014,91
227,ROBEKS,320000.0,484000.0,1996,91
228,Twin Peaks,1990000.0,6050000.0,2007,91
229,Nestle Toll House Café,44000.0,586000.0,1998,90
230,Big Boy Restaurant,913000.0,3640000.0,1936,88
231,Clean Eatz,358000.0,762000.0,2015,87
232,Lennys Grill & Subs,193000.0,431000.0,2012,87
233,La Madeleine,370000.0,3050000.0,2011,87
234,Nathan's BMP,50000.0,179000.0,1993,86
235,Nathan's,82000.0,2069999.9999999998,1993,86
236,Taziki's Mediterranean Cafe,555000.0,1010000.0,2013,86
237,Rocket Fizz,125000.0,266000.0,2007,86
238,Tous Les Jours,718000.0,939000.0,2004,85
239,Baja Fresh,202000.0,1070000.0,2006,84
240,Villa Pizza,303000.0,1020000.0,1964,83
241,Ben's Soft Pretzels,86000.0,340000.0,2012,82
242,Another Broken Egg Cafe,837000.0,1380000.0,2017,82
243,Pollo Campero,1290000.0,2490000.0,2003,81
244,Hot Head Burrito,214000.0,695000.0,2009,81
245,Wings Etc,344000.0,2770000.0,2004,80
246,JUICE IT UP,223000.0,441000.0,2018,79
247,Mooyah,496000.0,1170000.0,2006,78
248,Salata Salad Kitchen,522000.0,969000.0,2006,78
249,Salsarita's Fresh Cantina,359000.0,771000.0,1999,78
250,Totally Nutz,65000.0,227000.0,2014,76
251,U-Swirl-N-Go Store,339000.0,464000.0,2008,74
252,Vitality Bowls,209000.0,683000.0,2013,74
253,Pizza Guys,73000.0,203000.0,1995,74
254,Pancheros,500000.0,1210000.0,1994,74
255,Toppers Pizza,451000.0,667000.0,1991,73
256,Uno's Pizzeria & Grill,212000.0,2500000.0,1989,73
257,Doc Popcorn,55000.0,395000.0,2014,73
258,Gigi's Cupcakes Shops,227000.0,444000.0,2019,72
